ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
3526,Illawarra,Shoalhaven,Prostitution offences,,1,0,0,0,1,2,1,0,0,0,0
3527,Illawarra,Shoalhaven,Against justice procedures,Escape custody,6,2,5,2,3,4,0,5,4,1,2
3528,Illawarra,Shoalhaven,Against justice procedures,Breach Apprehended Violence Order,320,389,355,392,295,286,345,343,309,325,342
3529,Illawarra,Shoalhaven,Against justice procedures,Breach bail conditions,97,77,96,87,126,139,148,143,249,255,359
3530,Illawarra,Shoalhaven,Against justice procedures,Fail to appear,17,12,0,11,5,4,1,4,1,1,4
3531,Illawarra,Shoalhaven,Against justice procedures,Resist or hinder officer,128,83,95,101,106,100,179,155,128,122,67
3532,Illawarra,Shoalhaven,Against justice procedures,Other offences against justice procedures,52,23,9,16,12,5,4,8,3,5,4
3533,Illawarra,Shoalhaven,Transport regulatory offences,,50,56,28,14,36,96,69,50,21,14,16
3534,Illawarra,Shoalhaven,Other offences,,246,299,466,314,299,260,262,272,233,165,173
3535,Illawarra,Wingecarribee,Homicide,Murder (a),0,1,1,0,1,0,0,1,2,0,0
3536,Illawarra,Wingecarribee,Homicide,Attempted murder,0,0,0,1,0,0,1,0,0,0,0
3537,Illawarra,Wingecarribee,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
3538,Illawarra,Wingecarribee,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
3539,Illawarra,Wingecarribee,Assault,Domestic violence related assault,90,116,121,149,118,127,112,118,108,115,109
3540,Illawarra,Wingecarribee,Assault,Non-domestic violence related assault,181,164,153,168,164,203,200,233,187,147,138
3541,Illawarra,Wingecarribee,Assault,Assault Police,13,16,6,12,21,6,16,12,4,7,4
3542,Illawarra,Wingecarribee,Sexual offences,Sexual assault,19,13,34,24,27,29,23,24,27,21,34
3543,Illawarra,Wingecarribee,Sexual offences,"Indecent assault, act of indecency and other sexual offences",24,31,24,22,32,23,25,34,22,36,18
3544,Illawarra,Wingecarribee,Abduction and kidnapping,,1,1,0,0,2,0,1,1,1,3,0
3545,Illawarra,Wingecarribee,Robbery,Robbery without a weapon,7,7,2,4,4,9,9,4,7,6,3
3546,Illawarra,Wingecarribee,Robbery,Robbery with a firearm,0,1,0,0,1,2,1,0,0,1,2
3547,Illawarra,Wingecarribee,Robbery,Robbery with a weapon not a firearm,3,3,2,4,0,0,0,1,0,0,1
3548,Illawarra,Wingecarribee,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
3549,Illawarra,Wingecarribee,"Harassment, threatening behaviour and private nuisance",,57,75,67,127,128,131,107,164,97,156,134
3550,Illawarra,Wingecarribee,Other offences against the person,,3,2,2,8,14,8,7,6,11,8,9
3551,Illawarra,Wingecarribee,Theft,Break and enter dwelling,246,238,248,171,209,147,182,158,137,120,133
3552,Illawarra,Wingecarribee,Theft,Break and enter non-dwelling,221,238,204,168,217,208,156,146,159,212,96
3553,Illawarra,Wingecarribee,Theft,Receiving or handling stolen goods,19,16,24,19,28,22,12,21,12,15,13
3554,Illawarra,Wingecarribee,Theft,Motor vehicle theft,150,126,142,104,120,81,91,79,41,82,47
3555,Illawarra,Wingecarribee,Theft,Steal from motor vehicle,168,208,210,163,281,188,146,157,151,157,218
3556,Illawarra,Wingecarribee,Theft,Steal from retail store,79,48,49,79,67,66,83,53,59,65,74
3557,Illawarra,Wingecarribee,Theft,Steal from dwelling,290,211,181,174,157,121,173,119,116,150,133
3558,Illawarra,Wingecarribee,Theft,Steal from person,22,20,19,16,16,13,15,21,14,4,7
3559,Illawarra,Wingecarribee,Theft,Stock theft,7,10,8,7,5,3,3,6,3,2,11
3560,Illawarra,Wingecarribee,Theft,Fraud,123,166,84,110,103,117,191,104,107,92,90
3561,Illawarra,Wingecarribee,Theft,Other theft,302,239,216,176,183,177,150,150,152,150,140
3562,Illawarra,Wingecarribee,Arson,,78,56,42,38,46,53,50,44,29,58,34
3563,Illawarra,Wingecarribee,Malicious damage to property,,614,534,695,708,912,800,835,733,699,607,491
3564,Illawarra,Wingecarribee,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,1,0,3,2
3565,Illawarra,Wingecarribee,Drug offences,Possession and/or use of narcotics,0,1,0,0,1,0,0,0,0,0,2
3566,Illawarra,Wingecarribee,Drug offences,Possession and/or use of cannabis,30,31,26,32,45,38,35,62,72,96,132
3567,Illawarra,Wingecarribee,Drug offences,Possession and/or use of amphetamines,1,3,5,3,5,8,12,4,10,13,11
3568,Illawarra,Wingecarribee,Drug offences,Possession and/or use of ecstasy,1,0,0,1,3,1,3,8,2,0,7
3569,Illawarra,Wingecarribee,Drug offences,Possession and/or use of other drugs,2,1,1,2,2,3,5,5,9,9,9
3570,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,2,0,0
3571,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,1
3572,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in cannabis",3,0,5,2,6,2,1,3,4,2,8
3573,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in amphetamines",1,1,2,1,1,0,3,4,3,6,3
3574,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,1,0,1,1,4,1
3575,Illawarra,Wingecarribee,Drug offences,"Dealing, trafficking in other drugs",1,0,0,0,0,1,0,0,2,0,1
3576,Illawarra,Wingecarribee,Drug offences,Cultivating cannabis,7,10,5,6,5,8,7,4,12,11,11
3577,Illawarra,Wingecarribee,Drug offences,Manufacture drug,0,0,0,2,0,1,0,0,1,0,0
3578,Illawarra,Wingecarribee,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
3579,Illawarra,Wingecarribee,Drug offences,Other drug offences,9,9,9,8,12,9,14,14,16,31,29
3580,Illawarra,Wingecarribee,Prohibited and regulated weapons offences,,42,39,41,21,54,41,32,34,38,49,37
3581,Illawarra,Wingecarribee,Disorderly conduct,Trespass,59,41,47,49,51,81,68,59,53,35,39
3582,Illawarra,Wingecarribee,Disorderly conduct,Offensive conduct,41,23,14,24,29,39,41,30,46,35,35
3583,Illawarra,Wingecarribee,Disorderly conduct,Offensive language,32,22,19,25,44,40,53,28,36,40,23
3584,Illawarra,Wingecarribee,Disorderly conduct,Criminal intent,9,2,9,4,6,4,2,4,5,13,8
3585,Illawarra,Wingecarribee,Betting and gaming offences,,0,1,0,1,0,0,1,1,0,0,0
3586,Illawarra,Wingecarribee,Liquor offences,,29,41,20,28,47,82,78,67,63,47,70
3587,Illawarra,Wingecarribee,Pornography offences,,1,0,0,0,2,2,2,1,0,2,3
3588,Illawarra,Wingecarribee,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,1
3589,Illawarra,Wingecarribee,Against justice procedures,Escape custody,2,2,2,2,0,1,0,0,1,0,0
3590,Illawarra,Wingecarribee,Against justice procedures,Breach Apprehended Violence Order,46,44,97,69,60,57,62,56,67,81,42
3591,Illawarra,Wingecarribee,Against justice procedures,Breach bail conditions,49,29,30,50,84,53,85,64,38,77,83
3592,Illawarra,Wingecarribee,Against justice procedures,Fail to appear,2,9,1,5,2,0,2,2,1,1,3
3593,Illawarra,Wingecarribee,Against justice procedures,Resist or hinder officer,33,32,29,31,40,25,51,51,33,40,50
3594,Illawarra,Wingecarribee,Against justice procedures,Other offences against justice procedures,10,13,4,3,2,2,2,5,5,3,0
3595,Illawarra,Wingecarribee,Transport regulatory offences,,17,59,20,31,60,48,33,71,152,154,181
3596,Illawarra,Wingecarribee,Other offences,,60,42,58,68,72,88,65,38,45,57,36
3597,Illawarra,Wollongong,Homicide,Murder (a),7,2,0,0,1,4,1,1,0,4,2
3598,Illawarra,Wollongong,Homicide,Attempted murder,6,0,4,0,2,0,1,2,2,0,1
3599,Illawarra,Wollongong,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
3600,Illawarra,Wollongong,Homicide,Manslaughter (a),1,0,1,0,0,1,0,0,0,0,0
3601,Illawarra,Wollongong,Assault,Domestic violence related assault,745,832,762,731,731,726,684,696,622,647,679
3602,Illawarra,Wollongong,Assault,Non-domestic violence related assault,1461,1310,1236,1279,1337,1290,1216,1208,1019,1072,1010
3603,Illawarra,Wollongong,Assault,Assault Police,81,79,68,90,91,79,91,77,60,62,43
3604,Illawarra,Wollongong,Sexual offences,Sexual assault,105,155,114,103,122,119,137,144,137,136,137
3605,Illawarra,Wollongong,Sexual offences,"Indecent assault, act of indecency and other sexual offences",103,129,119,128,127,99,100,141,177,136,152
3606,Illawarra,Wollongong,Abduction and kidnapping,,9,15,14,7,10,8,10,10,14,15,12
3607,Illawarra,Wollongong,Robbery,Robbery without a weapon,184,94,97,117,111,102,98,82,80,55,61
3608,Illawarra,Wollongong,Robbery,Robbery with a firearm,12,7,8,5,3,8,1,4,6,8,6
3609,Illawarra,Wollongong,Robbery,Robbery with a weapon not a firearm,61,62,63,62,61,47,32,34,37,46,33
3610,Illawarra,Wollongong,Blackmail and extortion,,0,0,0,3,3,1,0,2,3,1,1
3611,Illawarra,Wollongong,"Harassment, threatening behaviour and private nuisance",,682,607,530,644,669,820,799,740,754,745,755
3612,Illawarra,Wollongong,Other offences against the person,,47,65,54,49,54,51,41,44,35,42,16
3613,Illawarra,Wollongong,Theft,Break and enter dwelling,3047,2491,1976,1719,1530,1054,1263,897,1113,1006,1231
3614,Illawarra,Wollongong,Theft,Break and enter non-dwelling,1795,1305,1030,883,958,671,692,394,469,528,505
3615,Illawarra,Wollongong,Theft,Receiving or handling stolen goods,413,378,386,248,214,172,188,153,150,182,234
3616,Illawarra,Wollongong,Theft,Motor vehicle theft,1686,1512,1353,1049,857,634,605,616,554,570,485
3617,Illawarra,Wollongong,Theft,Steal from motor vehicle,2274,2129,1727,1606,1402,1533,1349,959,986,1424,1529
3618,Illawarra,Wollongong,Theft,Steal from retail store,879,786,734,555,551,683,744,915,659,716,737
3619,Illawarra,Wollongong,Theft,Steal from dwelling,1178,1305,1128,876,709,696,580,574,540,590,702
3620,Illawarra,Wollongong,Theft,Steal from person,479,411,324,318,295,252,225,200,195,203,192
3621,Illawarra,Wollongong,Theft,Stock theft,3,3,6,4,7,5,2,6,3,4,3
3622,Illawarra,Wollongong,Theft,Fraud,802,774,730,763,917,821,883,706,633,773,864
3623,Illawarra,Wollongong,Theft,Other theft,2289,2031,1759,1366,1189,1110,965,942,890,908,947
3624,Illawarra,Wollongong,Arson,,157,144,148,222,283,245,284,302,168,226,277
3625,Illawarra,Wollongong,Malicious damage to property,,3384,3321,3202,3456,3447,3404,3280,3162,2673,2521,2336
3626,Illawarra,Wollongong,Drug offences,Possession and/or use of cocaine,1,2,2,1,8,4,2,3,1,3,9
3627,Illawarra,Wollongong,Drug offences,Possession and/or use of narcotics,12,17,14,18,14,38,26,31,21,18,23
3628,Illawarra,Wollongong,Drug offences,Possession and/or use of cannabis,264,225,205,223,250,255,272,299,380,476,518
3629,Illawarra,Wollongong,Drug offences,Possession and/or use of amphetamines,53,65,67,83,109,105,120,45,133,124,216
3630,Illawarra,Wollongong,Drug offences,Possession and/or use of ecstasy,8,14,12,12,17,18,33,23,20,12,36
3631,Illawarra,Wollongong,Drug offences,Possession and/or use of other drugs,8,14,15,18,41,32,31,22,43,49,62
3632,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in cocaine",0,0,1,0,0,2,1,0,0,7,1
3633,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in narcotics",35,12,5,18,3,3,33,45,6,36,48
3634,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in cannabis",11,11,17,9,12,13,7,28,16,41,33
3635,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in amphetamines",17,51,46,34,36,17,64,36,35,79,35
3636,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in ecstasy",4,5,6,11,7,18,17,17,6,20,16
3637,Illawarra,Wollongong,Drug offences,"Dealing, trafficking in other drugs",1,1,3,0,1,2,4,3,6,10,10
3638,Illawarra,Wollongong,Drug offences,Cultivating cannabis,37,29,54,39,35,56,37,47,57,49,18
3639,Illawarra,Wollongong,Drug offences,Manufacture drug,1,3,4,3,0,1,3,2,1,0,0
3640,Illawarra,Wollongong,Drug offences,Importing drugs,0,0,0,0,1,0,0,0,0,0,0
3641,Illawarra,Wollongong,Drug offences,Other drug offences,68,132,65,58,42,55,56,54,68,83,87
3642,Illawarra,Wollongong,Prohibited and regulated weapons offences,,306,287,229,205,245,268,278,248,255,241,287
3643,Illawarra,Wollongong,Disorderly conduct,Trespass,259,244,158,177,232,261,208,209,197,177,194
3644,Illawarra,Wollongong,Disorderly conduct,Offensive conduct,75,83,82,80,102,167,278,387,309,246,216
3645,Illawarra,Wollongong,Disorderly conduct,Offensive language,118,124,97,101,158,174,180,187,153,134,114
3646,Illawarra,Wollongong,Disorderly conduct,Criminal intent,70,70,62,38,38,32,23,29,37,29,44
3647,Illawarra,Wollongong,Betting and gaming offences,,1,19,2,8,25,5,10,3,0,6,8
3648,Illawarra,Wollongong,Liquor offences,,335,424,354,309,429,569,536,650,618,433,336
3649,Illawarra,Wollongong,Pornography offences,,2,4,8,3,3,4,3,7,8,5,13
3650,Illawarra,Wollongong,Prostitution offences,,0,1,1,1,2,11,19,1,1,0,0
3651,Illawarra,Wollongong,Against justice procedures,Escape custody,5,7,7,5,8,2,3,3,5,3,6
3652,Illawarra,Wollongong,Against justice procedures,Breach Apprehended Violence Order,445,519,411,475,395,435,310,355,381,338,416
3653,Illawarra,Wollongong,Against justice procedures,Breach bail conditions,329,443,407,494,562,672,1474,1292,965,1100,1150
3654,Illawarra,Wollongong,Against justice procedures,Fail to appear,87,46,12,21,34,8,20,9,8,11,11
3655,Illawarra,Wollongong,Against justice procedures,Resist or hinder officer,207,216,210,228,248,289,295,280,231,190,181
3656,Illawarra,Wollongong,Against justice procedures,Other offences against justice procedures,78,37,20,16,18,10,7,7,5,3,7
3657,Illawarra,Wollongong,Transport regulatory offences,,3851,3238,2784,2928,3262,3825,4366,3027,1939,1641,2140
3658,Illawarra,Wollongong,Other offences,,889,655,500,400,411,397,390,315,411,388,355
3659,Richmond-Tweed,Ballina,Homicide,Murder (a),0,0,0,0,0,1,1,0,1,2,0
3660,Richmond-Tweed,Ballina,Homicide,Attempted murder,0,0,1,0,1,0,1,0,0,0,0
3661,Richmond-Tweed,Ballina,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,1,0,0
3662,Richmond-Tweed,Ballina,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
3663,Richmond-Tweed,Ballina,Assault,Domestic violence related assault,182,199,155,143,175,182,112,147,127,149,151
3664,Richmond-Tweed,Ballina,Assault,Non-domestic violence related assault,203,250,207,236,254,300,225,229,191,195,177
3665,Richmond-Tweed,Ballina,Assault,Assault Police,4,18,6,12,16,17,8,5,8,9,5
3666,Richmond-Tweed,Ballina,Sexual offences,Sexual assault,11,23,14,32,26,23,39,27,33,23,32
3667,Richmond-Tweed,Ballina,Sexual offences,"Indecent assault, act of indecency and other sexual offences",62,30,34,52,30,39,36,45,44,40,29
3668,Richmond-Tweed,Ballina,Abduction and kidnapping,,1,4,0,1,1,1,0,1,1,2,3
3669,Richmond-Tweed,Ballina,Robbery,Robbery without a weapon,4,6,7,6,8,19,7,12,9,7,5
3670,Richmond-Tweed,Ballina,Robbery,Robbery with a firearm,0,0,0,0,0,2,2,0,0,0,0
3671,Richmond-Tweed,Ballina,Robbery,Robbery with a weapon not a firearm,0,5,2,4,5,5,0,2,3,3,6
3672,Richmond-Tweed,Ballina,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
3673,Richmond-Tweed,Ballina,"Harassment, threatening behaviour and private nuisance",,71,103,95,82,105,139,128,121,136,156,157
3674,Richmond-Tweed,Ballina,Other offences against the person,,8,3,4,3,13,4,4,10,8,8,7
3675,Richmond-Tweed,Ballina,Theft,Break and enter dwelling,284,306,392,265,234,294,277,219,175,206,176
3676,Richmond-Tweed,Ballina,Theft,Break and enter non-dwelling,321,234,189,157,246,222,232,205,127,198,111
3677,Richmond-Tweed,Ballina,Theft,Receiving or handling stolen goods,53,30,33,21,15,11,20,17,25,21,23
3678,Richmond-Tweed,Ballina,Theft,Motor vehicle theft,61,82,100,77,79,83,88,80,60,91,67
3679,Richmond-Tweed,Ballina,Theft,Steal from motor vehicle,343,351,319,252,229,287,300,257,190,351,175
3680,Richmond-Tweed,Ballina,Theft,Steal from retail store,120,110,115,85,67,79,97,104,88,91,110
3681,Richmond-Tweed,Ballina,Theft,Steal from dwelling,238,229,253,193,203,210,219,184,146,159,150
3682,Richmond-Tweed,Ballina,Theft,Steal from person,37,38,25,19,32,35,30,23,6,17,15
3683,Richmond-Tweed,Ballina,Theft,Stock theft,3,0,1,2,1,2,1,2,2,1,2
3684,Richmond-Tweed,Ballina,Theft,Fraud,212,161,173,159,148,178,157,166,118,110,104
3685,Richmond-Tweed,Ballina,Theft,Other theft,299,295,305,222,240,257,223,233,173,222,163
3686,Richmond-Tweed,Ballina,Arson,,20,24,40,20,19,42,25,37,30,27,23
3687,Richmond-Tweed,Ballina,Malicious damage to property,,627,570,511,571,590,664,551,591,453,486,438
3688,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of cocaine,2,0,0,0,0,1,0,1,0,0,0
3689,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of narcotics,0,1,0,0,0,0,1,1,0,1,1
3690,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of cannabis,71,73,48,31,41,64,37,52,63,78,58
3691,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of amphetamines,8,15,5,1,3,7,1,2,6,6,7
3692,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of ecstasy,0,2,0,1,2,4,2,0,2,1,2
3693,Richmond-Tweed,Ballina,Drug offences,Possession and/or use of other drugs,0,0,2,5,1,5,0,2,3,5,7
3694,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
3695,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,1,0,0,0
3696,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in cannabis",6,3,3,3,1,1,1,0,0,5,4
3697,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in amphetamines",0,3,6,0,0,0,3,0,3,0,4
3698,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in ecstasy",0,1,1,0,0,4,1,0,9,0,11
3699,Richmond-Tweed,Ballina,Drug offences,"Dealing, trafficking in other drugs",0,0,1,0,1,0,0,0,0,0,0
3700,Richmond-Tweed,Ballina,Drug offences,Cultivating cannabis,23,13,11,5,6,10,5,9,16,13,12
3701,Richmond-Tweed,Ballina,Drug offences,Manufacture drug,0,0,0,0,1,1,0,0,2,0,0
3702,Richmond-Tweed,Ballina,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,1
3703,Richmond-Tweed,Ballina,Drug offences,Other drug offences,14,19,19,8,8,5,22,11,10,12,15
3704,Richmond-Tweed,Ballina,Prohibited and regulated weapons offences,,39,36,39,39,23,27,30,26,31,28,41
3705,Richmond-Tweed,Ballina,Disorderly conduct,Trespass,67,104,74,73,95,96,55,55,68,72,69
3706,Richmond-Tweed,Ballina,Disorderly conduct,Offensive conduct,26,34,42,49,35,64,42,51,47,45,32
3707,Richmond-Tweed,Ballina,Disorderly conduct,Offensive language,26,35,33,31,18,30,41,34,30,26,12
3708,Richmond-Tweed,Ballina,Disorderly conduct,Criminal intent,8,11,5,3,4,10,3,4,5,10,8
3709,Richmond-Tweed,Ballina,Betting and gaming offences,,7,9,0,0,0,0,1,3,1,3,0
3710,Richmond-Tweed,Ballina,Liquor offences,,110,106,74,83,112,113,95,66,74,53,41
3711,Richmond-Tweed,Ballina,Pornography offences,,0,1,0,0,0,0,1,0,3,1,2
3712,Richmond-Tweed,Ballina,Prostitution offences,,0,0,0,0,1,0,0,0,1,0,0
3713,Richmond-Tweed,Ballina,Against justice procedures,Escape custody,1,0,0,1,0,1,0,2,0,3,0
3714,Richmond-Tweed,Ballina,Against justice procedures,Breach Apprehended Violence Order,57,74,80,84,84,80,94,73,63,66,89
3715,Richmond-Tweed,Ballina,Against justice procedures,Breach bail conditions,25,71,58,43,50,80,69,71,52,81,93
3716,Richmond-Tweed,Ballina,Against justice procedures,Fail to appear,4,2,0,0,7,0,2,0,0,3,2
3717,Richmond-Tweed,Ballina,Against justice procedures,Resist or hinder officer,27,49,21,28,25,55,39,36,33,46,19
3718,Richmond-Tweed,Ballina,Against justice procedures,Other offences against justice procedures,9,4,1,2,1,5,0,1,2,1,1
3719,Richmond-Tweed,Ballina,Transport regulatory offences,,2,0,2,3,2,1,2,4,0,0,1
3720,Richmond-Tweed,Ballina,Other offences,,73,212,133,126,86,100,58,51,66,53,56
3721,Richmond-Tweed,Byron,Homicide,Murder (a),1,1,1,0,0,0,0,0,0,1,1
3722,Richmond-Tweed,Byron,Homicide,Attempted murder,1,0,0,0,0,0,0,1,0,0,0
3723,Richmond-Tweed,Byron,Homicide,"Murder accessory, conspiracy",0,0,0,1,0,0,0,0,0,0,0
3724,Richmond-Tweed,Byron,Homicide,Manslaughter (a),1,0,0,0,0,0,1,0,0,0,0
3725,Richmond-Tweed,Byron,Assault,Domestic violence related assault,92,103,89,82,105,89,111,111,99,85,125
3726,Richmond-Tweed,Byron,Assault,Non-domestic violence related assault,291,242,270,294,309,346,276,331,305,349,350
3727,Richmond-Tweed,Byron,Assault,Assault Police,33,33,31,15,22,11,14,21,13,25,23
3728,Richmond-Tweed,Byron,Sexual offences,Sexual assault,28,33,39,38,46,28,21,42,26,34,32
3729,Richmond-Tweed,Byron,Sexual offences,"Indecent assault, act of indecency and other sexual offences",52,36,40,52,32,28,32,34,28,35,48
3730,Richmond-Tweed,Byron,Abduction and kidnapping,,0,3,1,0,1,2,1,5,1,1,1
3731,Richmond-Tweed,Byron,Robbery,Robbery without a weapon,12,7,10,16,11,8,8,11,9,5,8
3732,Richmond-Tweed,Byron,Robbery,Robbery with a firearm,0,0,1,0,2,0,0,0,1,0,1
3733,Richmond-Tweed,Byron,Robbery,Robbery with a weapon not a firearm,3,1,5,1,2,4,2,3,0,3,3
3734,Richmond-Tweed,Byron,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,1
3735,Richmond-Tweed,Byron,"Harassment, threatening behaviour and private nuisance",,32,67,55,63,68,76,68,151,143,117,158
3736,Richmond-Tweed,Byron,Other offences against the person,,6,7,4,2,6,3,2,5,5,5,9
3737,Richmond-Tweed,Byron,Theft,Break and enter dwelling,264,226,145,141,171,179,202,172,124,162,134
3738,Richmond-Tweed,Byron,Theft,Break and enter non-dwelling,340,268,166,246,188,140,141,143,167,140,120
3739,Richmond-Tweed,Byron,Theft,Receiving or handling stolen goods,95,60,40,48,41,43,31,39,31,35,54
3740,Richmond-Tweed,Byron,Theft,Motor vehicle theft,128,136,94,117,97,89,87,52,44,65,60
3741,Richmond-Tweed,Byron,Theft,Steal from motor vehicle,574,347,236,297,284,268,211,278,210,219,252
3742,Richmond-Tweed,Byron,Theft,Steal from retail store,126,106,86,77,73,88,82,86,74,84,98
3743,Richmond-Tweed,Byron,Theft,Steal from dwelling,305,225,270,220,241,221,196,219,172,164,215
3744,Richmond-Tweed,Byron,Theft,Steal from person,131,126,130,132,93,105,87,103,68,78,108
3745,Richmond-Tweed,Byron,Theft,Stock theft,3,1,0,2,0,0,1,1,2,0,1
3746,Richmond-Tweed,Byron,Theft,Fraud,116,94,84,69,134,183,90,125,102,83,107
3747,Richmond-Tweed,Byron,Theft,Other theft,756,630,589,580,544,561,470,610,515,588,569
3748,Richmond-Tweed,Byron,Arson,,8,10,5,10,9,15,15,18,14,12,21
3749,Richmond-Tweed,Byron,Malicious damage to property,,346,371,454,435,553,492,643,454,427,374,394
3750,Richmond-Tweed,Byron,Drug offences,Possession and/or use of cocaine,2,2,5,2,5,3,6,12,18,9,29
3751,Richmond-Tweed,Byron,Drug offences,Possession and/or use of narcotics,3,2,0,3,1,1,4,5,6,10,9
3752,Richmond-Tweed,Byron,Drug offences,Possession and/or use of cannabis,303,320,273,224,223,251,335,554,689,750,1431
3753,Richmond-Tweed,Byron,Drug offences,Possession and/or use of amphetamines,47,27,18,30,13,18,34,39,21,25,86
3754,Richmond-Tweed,Byron,Drug offences,Possession and/or use of ecstasy,10,20,19,15,20,32,70,177,38,11,180
3755,Richmond-Tweed,Byron,Drug offences,Possession and/or use of other drugs,15,14,18,15,13,11,10,46,25,30,77
3756,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in cocaine",0,0,2,1,4,2,1,0,1,0,1
3757,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in narcotics",0,0,0,1,0,2,0,0,0,0,0
3758,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in cannabis",8,9,8,5,6,7,3,2,4,2,4
3759,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in amphetamines",14,2,1,8,1,6,13,3,1,1,5
3760,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in ecstasy",0,4,4,4,6,29,9,6,1,0,6
3761,Richmond-Tweed,Byron,Drug offences,"Dealing, trafficking in other drugs",1,0,2,0,1,2,1,2,2,2,0
3762,Richmond-Tweed,Byron,Drug offences,Cultivating cannabis,45,44,30,22,20,19,23,23,17,24,18
3763,Richmond-Tweed,Byron,Drug offences,Manufacture drug,1,2,2,0,0,2,0,1,1,2,0
3764,Richmond-Tweed,Byron,Drug offences,Importing drugs,1,0,1,0,0,0,0,0,0,0,0
3765,Richmond-Tweed,Byron,Drug offences,Other drug offences,56,62,23,45,25,33,27,40,35,57,101
3766,Richmond-Tweed,Byron,Prohibited and regulated weapons offences,,80,74,46,50,31,45,35,54,46,45,37
3767,Richmond-Tweed,Byron,Disorderly conduct,Trespass,106,127,102,122,108,138,140,123,105,101,152
3768,Richmond-Tweed,Byron,Disorderly conduct,Offensive conduct,115,135,161,152,150,216,225,279,204,247,362
3769,Richmond-Tweed,Byron,Disorderly conduct,Offensive language,53,57,61,47,39,47,46,90,89,61,82
3770,Richmond-Tweed,Byron,Disorderly conduct,Criminal intent,11,3,2,2,0,6,3,7,7,0,4
3771,Richmond-Tweed,Byron,Betting and gaming offences,,0,0,0,0,2,1,0,1,2,0,0
3772,Richmond-Tweed,Byron,Liquor offences,,336,377,378,388,420,437,211,420,327,325,563
3773,Richmond-Tweed,Byron,Pornography offences,,0,0,2,1,0,0,2,1,1,0,0
3774,Richmond-Tweed,Byron,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
3775,Richmond-Tweed,Byron,Against justice procedures,Escape custody,1,3,1,2,0,0,1,0,0,0,0
3776,Richmond-Tweed,Byron,Against justice procedures,Breach Apprehended Violence Order,44,46,68,71,72,31,57,49,51,42,50
3777,Richmond-Tweed,Byron,Against justice procedures,Breach bail conditions,52,29,57,38,42,59,36,45,35,25,44
3778,Richmond-Tweed,Byron,Against justice procedures,Fail to appear,10,7,6,4,3,6,3,5,9,8,10
3779,Richmond-Tweed,Byron,Against justice procedures,Resist or hinder officer,91,81,100,51,81,86,75,110,80,113,187
3780,Richmond-Tweed,Byron,Against justice procedures,Other offences against justice procedures,10,7,3,3,5,0,1,6,2,5,4
3781,Richmond-Tweed,Byron,Transport regulatory offences,,4,4,6,1,0,3,0,0,2,6,0
3782,Richmond-Tweed,Byron,Other offences,,379,399,401,233,220,243,202,331,233,161,324
